BuffBucketId,TableType,MaxRoll,Buff1,BuffType1,BuffPotency1,Buff2,BuffType2,BuffPotency2,Buff3,BuffType3,BuffPotency3,Buff4,BuffType4,BuffPotency4,Buff5,BuffType5,BuffPotency5,Buff6,BuffType6,BuffPotency6
PromSoloEltBuff,AND,0,AI_Elite_Unbreakable_Grit_Buff,StatusEffect,1,AI_Elite_StaggerAndStaminaDMG_Buff,StatusEffect,1,AI_Dungeon,StatusEffect,1,,,0,,,0,,,0
PromSoloEltBuff_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
ChampionEliteBaseBuffs,AND,0,AI_Elite_Unbreakable_Grit,StatusEffect,1,AI_SlowRoot_Immunity,StatusEffect,1,,,0,,,0,,,0,,,0
ChampionEliteBaseBuffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
ChampRndThreeBuff,AND,0,RandomOffensiveBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0
ChampRndThreeBuff_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
ChampRndOffBuff,AND,0,RandomOffensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0,,,0
ChampRndOffBuff_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
ChampRndOffDefBuff,AND,0,RandomOffensiveBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
ChampRndOffDefBuff_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
ChampRndOffUtilBuff,AND,0,RandomOffensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
ChampRndOffUtilBuff_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
ChampRndDefUtilBuff,AND,0,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
ChampRndDefUtilBuff_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
ChampRndOffDefUtilNoElemBuff,AND,0,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0
ChampRndOffDefUtilNoElemBuff_Probs,,0,0,,0,0,,0,0,,0,0,,0,,,0,,,0
ChampRndOffDefNoElemBuff,AND,0,RandomOffNoElemBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,,,0,,,0,,,0
ChampRndOffDefNoElemBuff_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
RandomDamageType,OR,0,AI_FireDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,AI_LightningDamage_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1
RandomDamageType_Probs,,100,0,,0,17,,0,34,,0,51,,0,68,,0,84,,0
RandomResistType,OR,0,AI_FireResist_Buff,StatusEffect,1,AI_VoidResist_Buff,StatusEffect,1,AI_IceResist_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,AI_NatureResist_Buff,StatusEffect,1
RandomResistType_Probs,,100,0,,0,17,,0,34,,0,51,,0,68,,0,84,,0
RandomOffensiveBuff,OR,0,AI_Damage_Buff,StatusEffect,1,RandomDamageType,BuffBucket,1,AI_StaminaDamage_Buff,StatusEffect,1,,,0,,,0,,,0
RandomOffensiveBuff_Probs,,100,0,,0,20,,0,80,,0,,,0,,,0,,,0
RandomOffNoElemBuff,OR,0,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
RandomOffNoElemBuff_Probs,,100,0,,0,50,,0,,,0,,,0,,,0,,,0
RandomDefensiveBuff,OR,0,AI_Health_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,RandomResistType,BuffBucket,1,,,0,,,0,,,0
RandomDefensiveBuff_Probs,,100,0,,0,20,,0,40,,0,,,0,,,0,,,0
RandomDefensiveBuffNoResist,OR,0,AI_Health_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
RandomDefensiveBuffNoResist_Probs,,100,0,,0,20,,0,,,0,,,0,,,0,,,0
RandomUtilityBuff,OR,0,AI_ColdAura_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,0,,,0
RandomUtilityBuff_Probs,,100,0,,0,25,,0,50,,0,75,,0,,,0,,,0
ZaneBuffs,AND,0,AI_Corruption_Pool_Buff,StatusEffect,1,,,0,,,0,,,0,,,0,,,0
ZaneBuffs_Probs,,0,0,,0,,,0,,,0,,,0,,,0,,,0
AlligatorStrangeNamed00Buffs,AND,0,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,,,0,,,0,,,0
AlligatorStrangeNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
AlligatorStrangeNamed01Buffs,AND,0,AI_Slime_Buff,StatusEffect,1,,,0,,,0,,,0,,,0,,,0
AlligatorStrangeNamed01Buffs_Probs,,0,0,,0,,,0,,,0,,,0,,,0,,,0
AncientGuardianSpearmanNamed01Buffs,AND,0,AI_FireDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,,,0,,,0,,,0,,,0
AncientGuardianSpearmanNamed01Buffs_Probs,,0,0,,0,0,,0,,,0,,,0,,,0,,,0
AnubianGuardianArcherNamed00Buffs,AND,0,AI_OnPoisonHit_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0,,,0
AnubianGuardianArcherNamed00Buffs_Probs,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0
AnubianGuardianArcherNamed01Buffs,AND,0,AI_Damage_Buff,StatusEffect,1,AI_OnPoisonHit_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,,,0,,,0,,,0
